Land,Jaar,HydroEnergy,SolarEnergy,WindEnergy,Oppervlakte,BNPpp,RenewableEnergy,percentageGroen,BPNperLand,GrijzeEnergie,Populatie
Algeria,1995,511.2801522,0,0,2381740,1444.907991,2093.970152,0.422455733,41764054035,495666.1701,28904300
Algeria,1996,353.8454972,0,0,2381740,1596.006843,1936.535497,0.389502013,46941496308,497182.4105,29411839
Algeria,1997,190.9070452,0,0,2381740,1611.961927,2300.507045,0.472118302,48177861891,487273.4303,29887717
Algeria,1998,540.0538991,0,0,2381740,1588.422413,2781.623899,0.544550647,48187780126,510810.8703,30336880
Algeria,1999,516.910387,0,0,2381740,1580.957629,2758.480387,0.509987023,48640613515,540892.2703,30766551
Algeria,2000,142.2530891,0,0,2381740,1757.011925,2383.823089,0.42734725,54790058957,557818.7502,31183658
Algeria,2001,183.4898276,0,0,2381740,1732.9586,2425.059828,0.427044478,54744716706,567870.5505,31590320
Algeria,2002,153.949974,0,0,2381740,1774.292038,3172.379974,0.514737275,56760288962,616310.5196,31990387
Algeria,2003,732.4319147,0,0,2381740,2094.893393,3193.981915,0.469063978,67863832648,680926.7104,32394886
Algeria,2004,682.7529312,0,0,2381740,2600.006471,3144.302931,0.443615438,85324997370,708790.2407,32817225
Algeria,2005,1570.640509,0,0,2381740,3102.037031,4560.060509,0.584818171,103198000000,779739.8807,33267887
Algeria,2006,589.5192562,0,0,2381740,3467.543945,3287.999256,0.408700334,117027000000,804501.2403,33749328
Algeria,2007,612.3663093,0,0,2381740,3939.559939,3601.786309,0.411457262,134977000000,875373.129,34261971
Algeria,2008,758.564704,0,0,2381740,4912.251941,2707.184704,0.299500836,171001000000,903898.8806,34811059
Algeria,2009,798.7401143,0,0,2381740,3875.821206,3044.290114,0.311787259,137211000000,976399.781,35401790
Algeria,2010,458.5075012,0,0,2381740,4473.487448,2627.097501,0.257181978,161207000000,1021493.622,36036159
Algeria,2011,1265.627614,0,0,2381740,5421.743306,1939.497614,0.179939197,199071000000,1077862.771,36717132
Algeria,2012,1591.098692,0,0,2381740,5457.642768,2242.978692,0.190373797,204331000000,1178197.172,37439427
Angola,1990,1828.258621,0,0,1246700,898.6445744,135443.6586,72.25523088,10000000000,187451.7,11127870
Angola,1991,1863.057516,0,0,1246700,996.1993625,138582.9675,71.88862198,11428571429,192774.55,11472173
Angola,1992,2034.458712,0,0,1246700,477.0181236,141949.6587,72.72326016,5652173913,195191.55,11848971
Angola,1993,2155.495684,0,0,1246700,430.6852266,145324.9657,71.27703896,5274509804,203887.49,12246786
Angola,1994,2166.38733,0,0,1246700,320.9421923,148133.7673,72.22025507,4059431863,205113.88,12648483
Angola,1995,2177.26875,0,0,1246700,386.3890395,152489.4988,74.09368378,5039543188,205806.3401,13042666
Angola,1996,2235.521644,0,0,1246700,560.6369791,157042.6616,73.43925368,7526446606,213840.22,13424813
Angola,1997,2658.465314,0,0,1246700,554.1552436,161722.4853,74.17476241,7648377524,218028.99,13801868
Angola,1998,3057.979363,0,0,1246700,454.2693489,166524.5094,77.35982749,6445041784,215259.67,14187710
Angola,1999,2580.00364,0,0,1246700,421.3758457,170693.2136,74.15923722,6152922936,230171.21,14601983
Angola,2000,2629.305467,0,0,1246700,606.2696252,175852.8355,75.49937209,9129594816,232919.6,15058638
Angola,2001,2935.299176,0,0,1246700,574.1951589,181784.8892,74.8215562,8936079251,242957.91,15562791
Angola,2002,3294.767116,0,0,1246700,775.7654794,188214.3371,73.40708602,12497346041,256398.05,16109696
Angola,2003,3648.639529,0,0,1246700,850.0756971,195191.7195,68.94563298,14188949241,283109.6199,16691395
Angola,2004,4302.389113,0,0,1246700,1135.605363,202762.5691,67.42557804,19640862550,300720.55,17295500
Angola,2005,5678.346131,0,0,1246700,1576.162047,211171.5561,72.92216228,28233699333,289584.88,17912942
Angola,2006,7984.826891,0,0,1246700,2253.839634,220658.9069,67.43889161,41789493189,327198.3,18541467
Angola,2007,7336.305533,0,0,1246700,3151.020675,227358.9655,64.4047672,60448887583,353015.74,19183907
Angola,2008,9590.138032,0,0,1246700,4242.365654,237067.358,61.2613941,84178084132,386976.76,19842251
Angola,2009,9467.581191,0,0,1246700,3678.9492,244556.1912,59.24192727,75492416520,412809.31,20520103
Angola,2010,11466.2114,0,0,1246700,3886.478494,254290.9414,57.2750449,82470894869,443982.09,21219954
Angola,2011,12446.56028,0,0,1246700,4744.985104,263103.4103,57.70308053,104116000000,455960.77,21942296
Angola,2012,12362.13668,0,0,1246700,5084.346486,270987.8867,57.17526997,115342000000,473959.96,22685632
Argentina,1990,51192.77373,0,0,2780400,4318.774568,105714.1572,8.922903879,141352000000,1184750.6,32729740
Argentina,1991,46046.97012,0,0,2780400,5715.504232,106435.6727,8.748182038,189720000000,1216660.47,33193920
Argentina,1992,56258.37874,0,0,2780400,6797.752814,120302.6744,9.471647605,228779000000,1270134.61,33655149
